timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
3550.838,-0.1062,-0.2333,-0.0067,-0.0786,-0.6214,3.284,-1.947,-0.064,0.347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.47,22.62,44,-0.270,1,592.7
3550.888,-0.1062,-0.2333,-0.0067,-0.0786,-0.6214,3.269,-1.940,-0.100,0.313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.47,22.62,44,-0.270,1,592.7
3550.939,-0.1062,-0.2333,-0.0067,-0.0800,-0.6229,3.253,-1.936,-0.150,0.271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.47,22.62,44,-0.450,1,592.7
3550.981,-0.1062,-0.2705,-0.0067,-0.0814,-0.6243,3.215,-1.941,-1.298,-0.223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.47,22.61,44,-0.580,1,592.7
3551.033,-0.1235,-0.2063,-0.0100,-0.0771,-0.6229,3.024,-1.984,-5.170,-0.419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.61,44,-0.740,1,588.0
3551.084,-0.1083,-0.2333,-0.0100,-0.0786,-0.6214,3.014,-1.985,-5.021,-0.418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.61,44,-0.910,1,588.0
3551.130,-0.1275,-0.2333,-0.0100,-0.0771,-0.6171,2.425,-1.993,-5.840,0.676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.61,44,-1.010,1,588.0
3551.178,-0.1289,-0.2662,-0.0133,-0.0729,-0.6071,2.131,-1.924,-5.558,1.843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.61,44,-1.190,1,588.0
3551.245,-0.1125,-0.2370,-0.0133,-0.0714,-0.6000,1.521,-1.675,-6.083,2.501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.61,44,-1.410,1,583.4
3551.303,-0.1125,-0.2652,-0.0200,-0.0686,-0.5943,1.197,-1.573,-6.447,1.944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.61,44,-1.830,1,583.4
3551.356,-0.0955,-0.3013,-0.0200,-0.0686,-0.5943,1.197,-1.573,-6.447,1.944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.61,44,-1.830,1,583.4
3551.400,-0.1104,-0.2834,-0.0200,-0.0686,-0.5943,1.197,-1.573,-6.447,1.944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.61,44,-1.830,1,583.4
3551.449,-0.0921,-0.3169,-0.0200,-0.0686,-0.5943,0.853,-1.498,-6.654,1.557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.61,44,-1.830,1,583.4
3551.498,-0.0901,-0.2593,-0.0233,-0.0657,-0.5886,0.846,-1.496,-6.724,1.412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.48,22.60,44,-2.080,1,583.4
3551.568,-0.1062,-0.2833,-0.0267,-0.0614,-0.5757,-0.114,-1.351,-5.177,0.691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.50,22.60,44,-2.710,1,577.8
3551.615,-0.1062,-0.2296,-0.0300,-0.0586,-0.5729,-0.396,-1.387,-5.077,-1.579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.50,22.59,44,-3.310,1,577.8
3551.673,-0.1062,-0.2029,-0.0300,-0.0571,-0.5714,-0.906,-1.653,-4.297,-2.354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.54,22.59,44,-3.560,1,574.3
3551.724,-0.1062,-0.2207,-0.0300,-0.0557,-0.5614,-1.118,-1.760,-4.110,-1.924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.54,22.58,44,-3.960,1,574.3
3551.768,-0.1062,-0.1777,-0.0300,-0.0557,-0.5557,-1.321,-1.833,-3.817,-1.061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.54,22.58,44,-4.130,1,574.3
3551.822,-0.0892,-0.2105,-0.0300,-0.0557,-0.5471,-1.462,-1.856,-1.886,0.373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,22.58,43,-4.490,1,569.7
3551.877,-0.1042,-0.2370,-0.0300,-0.0557,-0.5471,-1.462,-1.856,-1.886,0.373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,22.58,43,-4.490,1,569.7
3551.929,-0.0694,-0.2370,-0.0300,-0.0557,-0.5443,-1.578,-1.843,-0.015,-0.576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,22.58,43,-4.870,1,569.7
3551.986,-0.0684,-0.2089,-0.0267,-0.0557,-0.5414,-1.603,-1.928,-0.364,-1.676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.58,22.58,43,-5.410,1,569.7
3552.044,-0.0644,-0.1496,-0.0300,-0.0543,-0.5429,-1.716,-2.353,-0.964,-4.555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.61,22.58,43,-5.900,1,565.4
3552.098,-0.0580,-0.1324,-0.0300,-0.0529,-0.5357,-1.770,-2.583,-0.822,-4.270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.61,22.59,43,-6.170,1,565.4
3552.153,-0.0709,-0.1226,-0.0300,-0.0543,-0.5343,-1.812,-2.783,-0.484,-3.414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.61,22.59,43,-6.220,1,565.4
3552.202,-0.0675,-0.1043,-0.0300,-0.0529,-0.5357,-1.837,-2.943,-0.158,-2.820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.61,22.60,42,-6.220,1,559.9
3552.260,-0.0676,-0.1047,-0.0267,-0.0543,-0.5314,-1.846,-3.085,0.103,-2.485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.61,22.60,42,-6.500,1,559.9
3552.305,-0.0616,-0.1077,-0.0267,-0.0557,-0.5329,-1.841,-3.219,0.426,-2.468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.61,22.61,42,-6.630,1,559.9
3552.351,-0.0599,-0.1019,-0.0267,-0.0557,-0.5329,-1.841,-3.219,0.426,-2.468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.61,22.61,42,-6.630,1,559.9
3552.408,-0.0610,-0.0774,-0.0267,-0.0557,-0.5329,-1.841,-3.219,0.426,-2.468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.61,22.61,42,-6.630,1,559.9
3552.451,-0.0544,-0.0787,-0.0267,-0.0557,-0.5329,-1.840,-3.224,0.477,-2.469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.61,22.61,42,-6.630,1,559.9
3552.504,-0.0220,-0.0238,-0.0267,-0.0557,-0.5357,-1.822,-3.391,0.472,-3.276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.56,22.63,42,-6.940,1,556.4
3552.554,-0.0306,-0.0015,-0.0267,-0.0571,-0.5371,-1.810,-3.870,0.176,-4.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.56,22.63,42,-7.380,1,556.4
3552.598,-0.0228,-0.0090,-0.0233,-0.0571,-0.5343,-1.816,-4.113,-0.069,-4.049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.56,22.65,42,-7.670,1,556.4
3552.644,-0.0195,-0.0000,-0.0300,-0.0543,-0.5343,-1.816,-4.117,-0.059,-4.066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.46,22.67,42,-7.550,1,551.7
3552.690,-0.0155,+0.0105,-0.0300,-0.0529,-0.5271,-1.922,-4.718,-0.909,-3.678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.46,22.67,42,-8.730,1,551.7
3552.754,-0.0211,-0.0044,-0.0300,-0.0514,-0.5200,-1.990,-4.928,-1.226,-3.661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.46,22.70,41,-9.080,1,551.7
3552.808,-0.0292,+0.0182,-0.0300,-0.0514,-0.5229,-1.992,-4.932,-1.226,-3.655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.33,22.72,41,-8.550,1,548.2
3552.858,-0.0257,+0.0372,-0.0300,-0.0529,-0.5271,-2.055,-5.123,-1.046,-3.659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.33,22.72,41,-9.040,1,548.2
3552.903,-0.0417,+0.0215,-0.0267,-0.0543,-0.5257,-2.110,-5.325,-0.725,-3.612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.33,22.78,41,-9.030,1,548.2
3552.954,-0.0063,+0.0536,-0.0267,-0.0543,-0.5314,-2.177,-5.714,-0.413,-3.520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.33,22.78,41,-8.290,1,548.2
3553.026,-0.0245,+0.0394,-0.0333,-0.0529,-0.5529,-2.228,-6.095,-0.480,-3.384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.04,22.82,41,-7.500,1,542.4
3553.076,+0.0009,+0.0782,-0.0400,-0.0486,-0.5600,-2.260,-6.280,-0.534,-3.345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.04,22.87,41,-7.310,1,542.4
3553.126,+0.0042,+0.0870,-0.0433,-0.0471,-0.5643,-2.261,-6.287,-0.615,-3.285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.04,22.87,41,-7.300,1,542.4
3553.191,+0.0016,+0.0802,-0.0467,-0.0457,-0.5714,-2.300,-6.471,-0.768,-3.245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.73,22.92,42,-6.990,1,537.8
3553.245,+0.0107,+0.1043,-0.0500,-0.0457,-0.5800,-2.395,-6.819,-1.129,-2.713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.73,22.92,42,-6.700,1,537.8
3553.311,-0.0048,+0.0757,-0.0533,-0.0414,-0.5843,-2.455,-6.948,-0.807,-1.536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.73,22.97,42,-6.470,1,537.8
3553.371,+0.0139,+0.0877,-0.0533,-0.0414,-0.5843,-2.455,-6.948,-0.807,-1.536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.73,22.97,42,-6.470,1,537.8
3553.422,+0.0229,+0.0407,-0.0533,-0.0414,-0.5843,-2.455,-6.948,-0.807,-1.536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.73,22.97,42,-6.470,1,537.8
3553.482,+0.0221,+0.0407,-0.0533,-0.0429,-0.5857,-2.489,-7.002,-0.381,-0.225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.73,23.00,42,-6.230,1,537.8
3553.541,+0.0267,+0.0682,-0.0533,-0.0443,-0.5929,-2.520,-7.026,-0.176,-0.031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.46,23.09,42,-6.250,1,534.2
3553.596,+0.0333,+0.0444,-0.0567,-0.0429,-0.5943,-2.550,-7.101,-0.406,-0.697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.46,23.09,42,-6.590,1,534.2
3553.651,+0.0368,+0.0444,-0.0500,-0.0457,-0.5914,-2.445,-7.124,4.249,0.127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.97,23.16,42,-6.610,1,528.3
3553.704,+0.0425,+0.0444,-0.0467,-0.0471,-0.5957,-1.865,-7.140,5.923,0.828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.97,23.19,42,-6.450,1,528.3
3553.751,+0.0313,+0.0111,-0.0467,-0.0471,-0.5843,-1.556,-7.047,6.222,2.452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.97,23.19,42,-6.460,1,528.3
3553.805,+0.0481,-0.0188,-0.0467,-0.0471,-0.5843,-1.239,-6.905,6.571,3.212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.67,23.25,42,-6.450,1,524.7
3553.863,+0.0346,-0.0230,-0.0400,-0.0500,-0.5814,-1.239,-6.905,6.571,3.212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.67,23.25,42,-6.550,1,524.7
3553.924,+0.0360,-0.0279,-0.0400,-0.0514,-0.5800,-0.572,-6.637,7.035,2.482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.67,23.35,41,-6.690,1,524.7
3553.972,+0.0229,-0.0466,-0.0333,-0.0543,-0.5714,-0.241,-6.538,7.114,2.213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.67,23.35,41,-7.140,1,524.7
3554.017,+0.0426,-0.0589,-0.0333,-0.0543,-0.5714,0.129,-6.440,6.408,1.792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.29,23.38,41,-7.340,1,520.1
3554.061,+0.0451,-0.0679,-0.0300,-0.0557,-0.5614,0.394,-6.369,3.970,1.644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.29,23.38,41,-7.480,1,520.1
3554.112,+0.0448,-0.0352,-0.0333,-0.0529,-0.5557,0.572,-6.281,3.241,2.142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.29,23.47,41,-7.640,1,520.1
