timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
2975.447,-0.2833,-0.2556,-0.0400,-0.0543,-0.6143,2.891,-2.040,-0.643,-0.030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.49,22.79,44,-0.180,1,599.5
2975.476,-0.2833,-0.2556,-0.0400,-0.0543,-0.6143,2.891,-2.040,-0.643,-0.030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.49,22.79,44,-0.180,1,594.9
2975.519,-0.2833,-0.2556,-0.0333,-0.0571,-0.6171,2.822,-2.045,-0.678,-0.044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.49,22.79,44,-0.350,1,594.9
2975.542,-0.2833,-0.2556,-0.0333,-0.0571,-0.6171,2.822,-2.045,-0.678,-0.044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.49,22.79,44,-0.350,1,594.9
2975.633,-0.2940,-0.2556,-0.0333,-0.0586,-0.6186,2.821,-2.045,-0.689,-0.060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.49,22.79,44,-0.450,1,594.9
2975.655,-0.2854,-0.2556,-0.0333,-0.0586,-0.6186,2.821,-2.045,-0.689,-0.060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.49,22.79,44,-0.450,1,594.9
2975.692,-0.2854,-0.2556,-0.0333,-0.0586,-0.6186,2.821,-2.045,-0.689,-0.060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.49,22.79,44,-0.450,1,594.9
2975.731,-0.2854,-0.2556,-0.0333,-0.0586,-0.6186,2.785,-2.049,-0.689,-0.071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.49,22.79,44,-0.670,1,594.9
2975.774,-0.3055,-0.2556,-0.0333,-0.0614,-0.6186,2.783,-2.049,-0.687,-0.068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.50,22.78,44,-0.670,1,591.4
2975.807,-0.2875,-0.2556,-0.0267,-0.0614,-0.6157,2.750,-2.054,-0.744,-0.101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.50,22.78,44,-0.910,1,591.4
