# pipeline profile — started 2026-08-27 09:24:23
     hud:arc         0.05 ms  (sub)
     hud:blend       0.77 ms  (sub)
     hud:yaw         0.42 ms  (sub)
     hud:cross       0.05 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.52 ms  (sub)
     disp:waitkey    4.50 ms  (sub)
[PROF 09:24:41]  59 frames   17.85 ms/frame  ->  56.0 FPS
   capture           3.19 ms   17.9%
   track             5.66 ms   31.7%
   ctrl+mav          0.32 ms    1.8%
   hud               3.68 ms   20.6%
   display           5.00 ms   28.0%
     detect          5.17 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.66 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.57 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.81 ms  (sub)
     hud:yaw         0.33 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.59 ms  (sub)
     disp:waitkey    4.37 ms  (sub)
[PROF 09:24:43]  61 frames   17.63 ms/frame  ->  56.7 FPS
   capture           3.14 ms   17.8%
   track             5.51 ms   31.2%
   ctrl+mav          0.31 ms    1.8%
   hud               3.61 ms   20.5%
   display           5.05 ms   28.7%
     detect          5.07 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.66 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.55 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.78 ms  (sub)
     hud:yaw         0.31 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.54 ms  (sub)
     disp:waitkey    4.46 ms  (sub)
[PROF 09:24:45]  59 frames   17.67 ms/frame  ->  56.6 FPS
   capture           3.12 ms   17.7%
   track             5.49 ms   31.1%
   ctrl+mav          0.33 ms    1.9%
   hud               3.74 ms   21.2%
   display           4.98 ms   28.2%
     detect          5.04 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.68 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.62 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.81 ms  (sub)
     hud:yaw         0.32 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.56 ms  (sub)
     disp:waitkey    4.39 ms  (sub)
[PROF 09:24:47]  56 frames   17.97 ms/frame  ->  55.6 FPS
   capture           3.25 ms   18.1%
   track             5.62 ms   31.3%
   ctrl+mav          0.33 ms    1.8%
   hud               3.87 ms   21.5%
   display           4.91 ms   27.3%
     detect          5.09 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.70 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.68 ms  (sub)
     hud:arc         0.11 ms  (sub)
     hud:blend       0.80 ms  (sub)
     hud:yaw         0.34 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.48 ms  (sub)
     disp:waitkey    4.39 ms  (sub)
[PROF 09:24:49]  60 frames   17.73 ms/frame  ->  56.4 FPS
   capture           3.21 ms   18.1%
   track             5.67 ms   32.0%
   ctrl+mav          0.35 ms    2.0%
   hud               3.69 ms   20.8%
   display           4.81 ms   27.1%
     detect          5.18 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.70 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.56 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.80 ms  (sub)
     hud:yaw         0.32 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.53 ms  (sub)
     disp:waitkey    4.24 ms  (sub)
[PROF 09:24:51]  60 frames   17.70 ms/frame  ->  56.5 FPS
   capture           3.17 ms   17.9%
   track             5.63 ms   31.8%
   ctrl+mav          0.31 ms    1.7%
   hud               3.83 ms   21.7%
   display           4.76 ms   26.9%
     detect          5.12 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.68 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.72 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.78 ms  (sub)
     hud:yaw         0.35 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.55 ms  (sub)
     disp:waitkey    4.18 ms  (sub)
[PROF 09:24:53]  61 frames   17.73 ms/frame  ->  56.4 FPS
   capture           3.44 ms   19.4%
   track             5.41 ms   30.5%
   ctrl+mav          0.29 ms    1.6%
   hud               3.86 ms   21.8%
   display           4.73 ms   26.7%
     detect          4.96 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.70 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.11 ms  (sub)
     hud:warp        1.70 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.84 ms  (sub)
     hud:yaw         0.31 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.52 ms  (sub)
     disp:waitkey    4.17 ms  (sub)
[PROF 09:24:55]  61 frames   17.67 ms/frame  ->  56.6 FPS
   capture           3.05 ms   17.3%
   track             5.71 ms   32.3%
   ctrl+mav          0.31 ms    1.8%
