timestamp_s,errorx,errory,aileron,elevator,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
77444.881,+0.0000,-0.2667,0.2014,0.2329,-0.643,-0.852,-0.296,0.694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.79,30.83,45,-0.040,0,724.9
77444.931,+0.0000,-0.2667,0.2014,0.2329,-0.658,-0.811,-0.003,0.695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.79,30.83,45,-0.040,0,724.9
77444.980,+0.2475,-0.0267,0.2014,0.2329,-0.639,-0.760,-0.028,0.693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.79,30.83,43,-0.040,1,724.9
77445.028,+0.2475,-0.0267,0.2014,0.2329,-0.639,-0.760,-0.028,0.693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.79,30.83,43,-0.040,0,724.9
77445.066,+0.2610,-0.0447,0.2014,0.2329,-0.639,-0.760,-0.028,0.693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.79,30.83,43,-0.040,1,724.9
77445.105,+0.2500,-0.0300,0.2014,0.2329,-0.468,-1.316,1.300,-4.063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.63,30.82,45,-0.040,1,714.6
77445.145,+0.2500,-0.0650,0.1957,0.2500,-0.468,-1.316,1.300,-4.063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.63,30.82,45,-2.700,1,714.6
77445.185,+0.2759,-0.0679,0.1957,0.2500,-0.425,-1.421,1.146,-3.117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.63,30.82,45,-2.700,1,714.6
77445.225,+0.2525,-0.0010,0.1957,0.2500,-0.425,-1.421,1.146,-3.117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.63,30.82,45,-2.700,1,714.6
77445.265,+0.2525,-0.0010,0.1957,0.2500,-0.425,-1.421,1.146,-3.117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.63,30.82,45,-2.700,0,714.6
77445.305,+0.2525,+0.0625,0.1957,0.2500,-0.250,-1.276,1.274,2.116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.63,30.83,45,-2.700,1,714.6
77445.344,+0.2525,+0.1260,0.1957,0.2500,-0.150,-1.404,1.244,-1.913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.63,30.83,35,-2.700,1,714.6
77445.383,+0.2525,-0.0740,0.1957,0.2500,-0.150,-1.404,1.244,-1.913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.41,30.83,35,-2.700,1,705.0
77445.422,+0.2797,-0.0825,0.1957,0.2500,-0.150,-1.404,1.244,-1.913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.41,30.83,35,-2.700,1,705.0
