timestamp_s,errorx,errory,aileron,elevator,rudder,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,pid_roll_desired,pid_roll_P,pid_roll_I,pid_roll_D,pid_pitch_desired,pid_pitch_P,pid_pitch_I,pid_pitch_D,alt_rel_m,groundspeed_ms,throttle_pct,nav_pitch_deg,target_locked,dist_m
1508.762,+0.4688,-0.0889,0.0200,-0.1014,-0.6443,7.337,-4.317,0.925,2.843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.23,23.32,45,-0.330,1,793.8
1508.823,+0.4386,-0.1426,0.0233,-0.1029,-0.6457,7.375,-4.171,0.775,3.259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.23,23.34,45,-0.460,1,793.8
1508.888,+0.4504,-0.1973,0.0200,-0.1029,-0.6457,7.421,-3.865,0.260,3.002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.23,23.34,45,-0.510,1,793.8
1508.941,+0.4455,-0.1716,0.0167,-0.1014,-0.6443,7.428,-3.731,0.102,2.656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.03,23.36,45,-0.590,1,789.4
1509.009,+0.4466,-0.1921,0.0033,-0.0914,-0.6543,6.959,-3.751,-7.256,-1.123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.03,23.37,45,-0.860,1,789.4
1509.066,+0.4424,-0.1580,0.0000,-0.0900,-0.6557,6.941,-3.755,-8.800,-2.130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.03,23.37,45,-0.960,1,789.4
1509.122,+0.4236,-0.2203,-0.0067,-0.0829,-0.6429,6.365,-3.802,-13.623,0.421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.85,23.38,44,-1.100,1,784.8
1509.182,+0.4217,-0.2793,-0.0167,-0.0714,-0.6257,4.913,-3.594,-13.384,3.746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.85,23.40,44,-1.290,1,784.8
1509.282,+0.4178,-0.2522,-0.0233,-0.0686,-0.6143,4.246,-3.338,-13.092,5.454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.85,23.40,44,-1.530,1,784.8
1509.330,+0.4417,-0.4443,-0.0233,-0.0686,-0.6143,4.246,-3.338,-13.092,5.454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.85,23.40,44,-1.530,1,784.8
1509.394,+0.4417,-0.4174,-0.0300,-0.0600,-0.6029,4.194,-3.314,-13.013,5.920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.85,23.40,44,-2.100,1,784.8
1509.445,+0.4766,-0.4582,-0.0300,-0.0600,-0.6029,4.194,-3.314,-13.013,5.920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.73,23.41,44,-2.100,1,781.1
1509.490,+0.4657,-0.5485,-0.0467,-0.0486,-0.5857,2.856,-2.705,-14.455,5.532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.73,23.42,44,-2.810,1,781.1
1509.535,+0.4674,-0.5388,-0.0600,-0.0371,-0.5657,2.051,-2.432,-15.272,4.433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.73,23.42,44,-3.790,1,781.1
1509.584,+0.4683,-0.5501,-0.0700,-0.0271,-0.5557,1.242,-2.224,-15.870,3.579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.63,23.43,44,-4.200,1,776.5
1509.628,+0.4920,-0.5254,-0.0767,-0.0186,-0.5100,-0.045,-1.746,-8.355,7.665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.63,23.41,43,-5.440,1,776.5
1509.682,+0.4731,-0.5163,-0.0700,-0.0229,-0.5114,-0.155,-1.447,0.956,4.613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.63,23.41,43,-5.920,1,776.5
1509.726,+0.4784,-0.4209,-0.0800,-0.0143,-0.5029,0.027,-1.201,1.249,-1.224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.63,23.39,43,-6.830,1,776.5
1509.772,+0.4604,-0.3889,-0.0833,-0.0143,-0.5114,0.084,-1.436,1.357,-5.745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.62,23.39,43,-7.250,1,770.8
1509.856,+0.4604,-0.3479,-0.0833,-0.0129,-0.5071,0.206,-1.833,2.750,-7.533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.62,23.37,43,-7.460,1,770.8
1509.910,+0.4105,-0.1743,-0.0867,-0.0086,-0.4886,0.408,-2.169,4.832,-5.763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.62,23.37,43,-8.140,1,770.8
1509.962,+0.4192,-0.1689,-0.0867,-0.0071,-0.4786,1.019,-2.508,6.696,-1.907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.65,23.37,43,-8.330,1,767.3
1510.018,+0.4500,-0.1603,-0.0800,-0.0114,-0.4743,1.379,-2.572,6.837,-1.277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.65,23.37,42,-7.920,1,767.3
1510.076,+0.4500,-0.2000,-0.0800,-0.0114,-0.4714,1.755,-2.622,9.455,-0.378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.65,23.37,42,-7.950,1,767.3
1510.131,+0.4995,-0.1496,-0.0767,-0.0129,-0.4729,3.264,-2.701,16.145,-2.716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.63,23.37,42,-8.090,1,761.6
1510.184,+0.5416,-0.0957,-0.0700,-0.0200,-0.4914,4.061,-2.956,14.852,-6.027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.63,23.37,42,-8.880,1,761.6
1510.278,+0.5087,-0.0876,-0.0767,-0.0143,-0.4886,4.089,-2.969,14.257,-7.228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.63,23.37,42,-8.980,1,761.6
1510.329,+0.5278,+0.0906,-0.0767,-0.0143,-0.4886,4.089,-2.969,14.257,-7.228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.63,23.37,42,-8.980,1,761.6
1510.382,+0.4983,+0.1176,-0.0833,-0.0114,-0.4857,4.780,-3.394,13.839,-8.356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.63,23.37,42,-8.880,1,761.6
1510.429,+0.4645,+0.1862,-0.0800,-0.0129,-0.4929,4.780,-3.394,13.839,-8.356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.59,23.37,42,-8.970,1,758.0
1510.481,+0.4461,+0.1698,-0.0767,-0.0171,-0.5000,5.437,-3.852,13.774,-9.253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.59,23.38,42,-8.670,1,758.0
1510.529,+0.4213,+0.1865,-0.0633,-0.0286,-0.5171,7.795,-5.078,17.446,-5.887,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.59,23.38,42,-7.350,1,758.0
1510.582,+0.4202,+0.2820,-0.0467,-0.0429,-0.5429,8.680,-5.407,17.431,-5.896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.45,23.40,42,-7.050,1,753.5
1510.630,+0.4092,+0.2549,-0.0467,-0.0443,-0.5529,9.529,-5.731,16.555,-5.802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.45,23.43,42,-6.760,1,753.5
1510.679,+0.4216,+0.2507,-0.0367,-0.0529,-0.5757,10.317,-6.021,16.027,-5.518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.45,23.43,42,-5.890,1,753.5
1510.730,+0.4365,+0.2370,-0.0300,-0.0586,-0.5786,11.117,-6.236,15.821,-2.577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.19,23.46,42,-5.500,1,748.9
1510.784,+0.4355,+0.2182,-0.0300,-0.0600,-0.5829,11.854,-6.300,14.846,-0.598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.19,23.46,42,-5.320,1,748.9
1510.884,+0.4400,+0.2134,-0.0200,-0.0686,-0.6086,13.782,-6.458,12.091,-1.886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.19,23.53,42,-5.070,1,748.9
1510.938,+0.4143,+0.2046,-0.0167,-0.0714,-0.6171,13.806,-6.463,11.868,-2.306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.85,23.55,42,-4.980,1,744.4
1510.995,+0.3795,+0.2402,-0.0133,-0.0757,-0.6300,14.859,-6.857,7.480,-4.592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.85,23.60,43,-4.740,1,744.4
1511.054,+0.3429,+0.3051,-0.0033,-0.0871,-0.6614,15.144,-7.212,6.030,-6.751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.85,23.60,43,-4.410,1,744.4
1511.107,+0.3208,+0.3143,0.0000,-0.0886,-0.6714,15.433,-7.653,4.972,-6.582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.85,23.65,43,-4.100,1,744.4
1511.164,+0.2987,+0.2382,0.0000,-0.0886,-0.6629,15.485,-7.954,-0.159,-1.155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.46,23.65,43,-3.420,1,739.9
1511.215,+0.3083,+0.1578,0.0067,-0.0929,-0.6386,15.515,-7.569,1.666,11.828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.46,23.73,43,-2.910,1,739.9
1511.263,+0.3110,-0.0133,0.0067,-0.0929,-0.6386,15.515,-7.569,1.666,11.828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.46,23.73,43,-2.910,1,739.9
1511.353,+0.3445,+0.0276,0.0067,-0.0929,-0.6386,15.515,-7.569,1.666,11.828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.46,23.73,43,-2.910,1,739.9
1511.400,+0.3708,-0.1666,0.0033,-0.0900,-0.6414,15.526,-6.505,-1.145,9.850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.46,23.73,43,-3.510,1,739.9
1511.441,+0.3708,-0.1626,0.0033,-0.0900,-0.6414,15.523,-6.485,-1.079,9.950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.87,23.81,43,-3.510,1,734.2
1511.487,+0.3516,-0.1271,-0.0033,-0.0829,-0.6171,15.250,-5.857,-3.835,5.336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.87,23.85,42,-5.570,1,734.2
1511.553,+0.3120,-0.1464,-0.0100,-0.0757,-0.5900,15.016,-5.674,-4.762,4.022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.87,23.92,42,-7.200,1,734.2
1511.597,+0.3012,-0.1495,-0.0133,-0.0700,-0.5786,14.349,-5.502,-8.062,2.203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.57,23.92,42,-7.650,1,730.8
1511.648,+0.2830,-0.1508,-0.0100,-0.0686,-0.5571,13.857,-5.442,-10.097,3.920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.57,24.00,41,-7.800,1,730.8
